fiveTuple,srcIP,dstIP,protocol,srcPort,dstPort,flowDuration,flowLength,fwdFlowLength,bwdFlowLength,packetSizeTotal,packetSizeMean,packetSizeStd,packetSizeMin,packetSizeMax,fwdPacketSizeTotal,bwdPacketSizeTotal,fwdPacketSizeMean,bwdPacketSizeMean,fwdPacketSizeStd,bwdPacketSizeStd,fwdPacketSizeMin,bwdPacketSizeMin,fwdPacketSizeMax,bwdPacketSizeMax,IATMean,IATStd,IATMin,IATMax,fwdIATTotal,bwdIATTotal,fwdIATMean,bwdIATMean,fwdIATStd,bwdIATStd,fwdIATMin,bwdIATMin,fwdIATMax,bwdIATMax,Type
198.199.96.210--138.68.177.159--TCP--58896--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),58896,926789000.0,83.0,0.0,83.0,193386.0,2329.951807,1118.803512,66.0,2962.0,0.0,193386.0,2329.951807,2329.951807,0.0,1118.803512,0.0,66.0,0.0,2962.0,11302000.0,34573000.0,1000.0,136364000.0,0.0,926789000.0,0.0,11302000.0,0.0,34573000.0,0.0,1000.0,0.0,136364000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--38086,198.199.96.210,138.68.177.159,TCP,38086,8080(http-alt),3355923000.0,83.0,0.0,83.0,13630.0,164.216867,149.603657,66.0,396.0,0.0,13630.0,164.216867,164.216867,0.0,149.603657,0.0,66.0,0.0,396.0,40925000.0,59615000.0,3000.0,139172000.0,0.0,3355923000.0,0.0,40925000.0,0.0,59615000.0,0.0,3000.0,0.0,139172000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--55086,198.199.96.210,138.68.177.159,TCP,55086,8080(http-alt),3210215000.0,83.0,0.0,83.0,13650.0,164.457831,149.980023,66.0,408.0,0.0,13650.0,164.457831,164.457831,0.0,149.980023,0.0,66.0,0.0,408.0,39148000.0,58988000.0,5000.0,140146000.0,0.0,3210215000.0,0.0,39148000.0,0.0,58988000.0,0.0,5000.0,0.0,140146000.0,Malicious
198.199.96.210--138.68.177.159--TCP--38086--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),38086,533005000.0,83.0,0.0,83.0,193066.0,2326.096386,1129.907914,103.0,2962.0,0.0,193066.0,2326.096386,2326.096386,0.0,1129.907914,0.0,103.0,0.0,2962.0,6500000.0,28640000.0,3000.0,133779000.0,0.0,533005000.0,0.0,6500000.0,0.0,28640000.0,0.0,3000.0,0.0,133779000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--38222,198.199.96.210,138.68.177.159,TCP,38222,8080(http-alt),3997970000.0,83.0,0.0,83.0,15267.0,183.939759,156.766218,66.0,398.0,0.0,15267.0,183.939759,183.939759,0.0,156.766218,0.0,66.0,0.0,398.0,48755000.0,62258000.0,3000.0,133973000.0,0.0,3997970000.0,0.0,48755000.0,0.0,62258000.0,0.0,3000.0,0.0,133973000.0,Malicious
198.199.96.210--138.68.177.159--TCP--50068--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),50068,546929000.0,83.0,0.0,83.0,193066.0,2326.096386,1129.907914,103.0,2962.0,0.0,193066.0,2326.096386,2326.096386,0.0,1129.907914,0.0,103.0,0.0,2962.0,6669000.0,29416000.0,1000.0,144726000.0,0.0,546929000.0,0.0,6669000.0,0.0,29416000.0,0.0,1000.0,0.0,144726000.0,Malicious
198.199.96.210--138.68.177.159--TCP--40254--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),40254,533170000.0,83.0,0.0,83.0,193066.0,2326.096386,1129.907914,103.0,2962.0,0.0,193066.0,2326.096386,2326.096386,0.0,1129.907914,0.0,103.0,0.0,2962.0,6502000.0,28635000.0,5000.0,135690000.0,0.0,533170000.0,0.0,6502000.0,0.0,28635000.0,0.0,5000.0,0.0,135690000.0,Malicious
198.199.96.210--138.68.177.159--TCP--38188--8080(http-alt),138.68.177.159,198.199.96.210,TCP,8080(http-alt),38188,535461000.0,83.0,0.0,83.0,193066.0,2326.096386,1129.907914,103.0,2962.0,0.0,193066.0,2326.096386,2326.096386,0.0,1129.907914,0.0,103.0,0.0,2962.0,6530000.0,28785000.0,1000.0,136499000.0,0.0,535461000.0,0.0,6530000.0,0.0,28785000.0,0.0,1000.0,0.0,136499000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--43110,198.199.96.210,138.68.177.159,TCP,43110,8080(http-alt),4274460000.0,83.0,0.0,83.0,15964.0,192.337349,159.502032,66.0,400.0,0.0,15964.0,192.337349,192.337349,0.0,159.502032,0.0,66.0,0.0,400.0,52127000.0,63013000.0,10000.0,138013000.0,0.0,4274460000.0,0.0,52127000.0,0.0,63013000.0,0.0,10000.0,0.0,138013000.0,Malicious
138.68.177.159--198.199.96.210--TCP--8080(http-alt)--43052,198.199.96.210,138.68.177.159,TCP,43052,8080(http-alt),4000049000.0,83.0,0.0,83.0,15308.0,184.433735,157.426456,66.0,400.0,0.0,15308.0,184.433735,184.433735,0.0,157.426456,0.0,66.0,0.0,400.0,48781000.0,62447000.0,3000.0,136347000.0,0.0,4000049000.0,0.0,48781000.0,0.0,62447000.0,0.0,3000.0,0.0,136347000.0,Malicious
